player_name,dg_id,event_name,course_name,VenueDNA_rank,VenueDNA_tier,VenueDNA_final_projection,VenueDNA_neutral_skill,VenueDNA_venue_fit_delta,VenueDNA_venue_history_delta,VenueDNA_penalties_total,VenueDNA_confidence_band,VenueDNA_primary_case,VenueDNA_key_risk,VenueDNA_failure_condition,VenueDNA_conviction,VenueDNA_trait_approach,VenueDNA_trait_long_iron_150_225,VenueDNA_trait_total_driving,VenueDNA_trait_par5_scoring,VenueDNA_trait_easy_green_putting,VenueDNA_trait_course_history,anti_pattern_flags,risk_flags,tags,r1_tee_time,r1_wave,r1_start_hole,r2_tee_time,r2_wave,r2_start_hole,DG_finalprediction_benchmark,DG_stddev_benchmark,DG_coursefittotaladj_benchmark
"Kizzire, Patton",13470,3M Open,TPC Twin Cities,127,T5,35.4,38.3,-0.2167,0,-6.0,low,NSI 38.3/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.053); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,42.5,37.0,5.7,58.9,35.4,47.5,accuracy_risk|short_game_only|long_iron_deficit,accuracy_risk|short_game_only|long_iron_deficit,T5|venue_experience|flag_accuracy_risk|flag_short_game_only|flag_long_iron_deficit,12:00 PM,late,1,6:45 AM,early,10,-1.24,2.864,0.011
"Martin, Ben",14007,3M Open,TPC Twin Cities,128,T5,35.0,36.7,-0.1438,-0.051,-2.0,medium,NSI 36.7/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,58.7,57.7,55.4,62.5,unknown,24.1,long_iron_deficit,long_iron_deficit,T5|approach_solid|flag_long_iron_deficit,1:06 PM,late,1,7:51 AM,early,10,-1.132,2.8,0.078
"Wood, Griffin",29710,3M Open,TPC Twin Cities,129,T5,34.2,33.6,0.0,0,-2.0,low,NSI 33.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.190); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,unknown,unknown,40.7,27.5,unknown,45.0,accuracy_risk,accuracy_risk,T5|debut|flag_accuracy_risk,1:50 PM,late,10,8:35 AM,early,1,-3.243,3.241,-0.3
"Gordon, Will",26660,3M Open,TPC Twin Cities,130,T5,32.8,36.7,-0.2859,-0.108,-2.0,medium,NSI 36.7/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.036); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,43.3,51.3,48.2,38.9,unknown,0.0,accuracy_risk,accuracy_risk,T5|flag_accuracy_risk,1:17 PM,late,10,8:02 AM,early,1,-0.969,2.896,-0.097
"Davis, Cam",17786,3M Open,TPC Twin Cities,131,T5,30.9,34.7,-0.2833,0.068,-4.0,low,NSI 34.7/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.064); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,38.1,35.7,25.1,43.2,42.3,78.7,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_experience|flag_accuracy_risk|flag_long_iron_deficit,7:40 AM,early,1,12:55 PM,late,10,-0.792,2.945,-0.094
"Riley, Davis",19872,3M Open,TPC Twin Cities,132,T5,30.0,37.2,-0.5,0.002,-4.0,low,NSI 37.2/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.113); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,33.4,31.5,9.3,43.7,68.3,48.4,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,7:18 AM,early,1,12:33 PM,late,10,-1.084,2.977,-0.133
"Hoffman, Charley",5768,3M Open,TPC Twin Cities,133,T5,29.9,26.8,0.1474,0,-4.0,low,Similar-course delta fit (+0.147 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.030); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; no TPC history; approach-distance profile and closing-hole pressure (16-18) present unknowns that widen the variance band,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,31.4,44.2,44.5,47.2,19.5,45.0,accuracy_risk|debut_uncertainty,accuracy_risk|debut_uncertainty,T5|venue_fit_upside|flag_accuracy_risk|flag_debut_uncertainty,12:55 PM,late,1,7:40 AM,early,10,-1.748,2.95,-0.024
"List, Luke",7960,3M Open,TPC Twin Cities,134,T5,29.7,35.3,-0.3958,-0.03,-4.0,low,Off-the-tee SG (+0.31/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,driving accuracy flag active (adj -0.034); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,38.4,43.6,64.9,38.3,39.5,33.7,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,8:02 AM,early,1,1:17 PM,late,10,-0.896,2.899,-0.095
"Sargent, Gordon",30814,3M Open,TPC Twin Cities,135,T5,29.7,32.6,-0.2262,-0.006,-4.0,low,NSI 32.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.098); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,5.0,1.1,59.4,13.8,46.1,44.8,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,1:28 PM,late,1,8:13 AM,early,10,-1.268,2.987,-0.281
"Schenk, Adam",19477,3M Open,TPC Twin Cities,136,T5,29.2,36.4,-0.5,-0.054,-4.0,low,NSI 36.4/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.049); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,39.8,41.9,38.3,48.2,29.0,22.7,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_experience|flag_accuracy_risk|flag_long_iron_deficit,12:55 PM,late,10,7:40 AM,early,1,-1.129,2.918,-0.046
"Campos, Rafael",12909,3M Open,TPC Twin Cities,137,T5,26.6,31.7,-0.3741,-0.053,-4.0,low,NSI 31.7/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.054); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,35.6,42.5,33.7,44.6,33.6,23.2,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,6:56 AM,early,1,12:11 PM,late,10,-1.34,2.89,-0.067
"Brehm, Ryan",10423,3M Open,TPC Twin Cities,138,T5,19.5,19.6,-0.075,0.012,-4.0,low,NSI 19.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.087); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,28.4,35.2,46.1,35.4,unknown,53.0,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_experience|flag_accuracy_risk|flag_long_iron_deficit,7:07 AM,early,1,12:22 PM,late,10,-2.332,3.099,-0.16
"Fahrny, Brannon",34058,3M Open,TPC Twin Cities,139,T5,19.3,18.2,0.0,0,-2.0,low,NSI 18.2/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.031); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,unknown,unknown,53.7,70.0,unknown,45.0,accuracy_risk,accuracy_risk,T5|debut|flag_accuracy_risk,8:46 AM,early,1,2:01 PM,late,10,-2.734,3.097,0.013
"Lindheim, Nicholas",16713,3M Open,TPC Twin Cities,140,T5,14.8,12.9,0.0397,-0.028,0,medium,NSI 12.9/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,unknown,unknown,41.1,71.7,49.4,34.7,,,T5,8:35 AM,early,1,1:50 PM,late,10,-1.706,2.921,0.1
"Sandhu, Sihan",30039591,3M Open,TPC Twin Cities,141,T5,14.1,12.8,0.0,0,-2.0,low,NSI 12.8/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.030); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,unknown,unknown,53.7,69.4,unknown,45.0,accuracy_risk,accuracy_risk,T5|debut|flag_accuracy_risk,2:01 PM,late,10,8:46 AM,early,1,-2.611,3.098,0.013
"Sihota, Jeevan",29702,3M Open,TPC Twin Cities,142,T5,5.2,3.7,0.0,0,-2.0,low,NSI 3.7/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.096); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,unknown,unknown,48.4,52.4,unknown,45.0,accuracy_risk,accuracy_risk,T5|debut|flag_accuracy_risk,8:35 AM,early,1,1:50 PM,late,10,-3.926,3.45,-0.128
"Schultz, Cooper",31250,3M Open,TPC Twin Cities,143,T5,4.5,2.9,0.0,0,-2.0,low,NSI 2.9/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.033); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,unknown,unknown,53.9,71.4,unknown,45.0,accuracy_risk,accuracy_risk,T5|debut|flag_accuracy_risk,8:46 AM,early,10,2:01 PM,late,1,-2.888,3.143,0.014
"Campbell, Thomas",18359,3M Open,TPC Twin Cities,144,T5,0.0,0.0,0.0,0,-2.0,medium,NSI 0.0/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.050); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,unknown,unknown,54.2,78.4,unknown,47.5,accuracy_risk,accuracy_risk,T5|flag_accuracy_risk,1:39 PM,late,10,8:24 AM,early,1,-3.305,3.233,0.017
